381,22,3,"Sonata","S",2010-12-07 14:35:06.077000000
382,17,2,"145","N",2010-05-31 10:43:32.590000000
383,17,3,"155","",2006-05-13 12:27:40.607000000
384,17,3,"164","",2006-05-13 12:28:09.403000000
385,17,7,"Spider","",2006-05-13 12:29:03.060000000
386,12,3,"Legend","",2006-05-13 12:35:54.967000000
387,12,6,"Acura NSX","",2006-05-13 12:39:53.950000000
388,12,1,"Odyssey","",2006-05-13 12:42:39.437000000
389,12,9,"Passport","",2006-05-13 12:43:33.233000000
390,12,6,"Prelude","",2006-05-13 12:45:15.530000000
391,22,3,"Accent Sedan","",2006-05-31 15:43:13.733000000
392,22,1,"Atos","",2006-05-13 12:54:57.030000000
393,22,6,"Coupˆ FX","",2006-05-31 16:31:49.890000000
394,22,3,"Elantra","S",2011-09-26 16:21:07.013000000
395,22,3,"Excel","",2006-05-13 12:56:03.733000000
396,22,9,"Galloper","",2006-05-13 12:56:51.140000000
397,22,1,"Matrix","",2006-05-13 12:57:15.780000000
398,22,3,"Scoupe","",2006-05-13 12:58:23.560000000
399,22,11,"Porter","",2006-05-13 12:59:14.997000000
400,22,6,"Tiburon","",2006-05-13 13:00:17.920000000
401,22,1,"Trajet","",2006-05-13 13:01:05.590000000
403,32,3,"XJ","N",2009-12-16 16:08:37.530000000
405,29,8,"Wrangler","S",2009-12-03 18:47:37.560000000
406,9,11,"Ceres","",2006-05-13 13:30:45.187000000
407,33,8,"Niva","",2006-05-13 13:32:52.170000000
408,33,2,"Samara","",2006-05-13 13:33:01.997000000
409,33,3,"Laika","",2006-05-13 13:33:17.200000000
410,49,6,"Diablo","",2006-05-13 13:34:53.903000000
411,49,6,"Gallardo","",2006-05-13 13:35:27.497000000
412,49,6,"Murcielago","",2006-05-13 13:35:54.013000000
413,34,3,"GS","",2006-05-13 14:28:05.420000000
414,34,9,"RX","",2006-05-13 14:28:48.310000000
415,34,3,"SC","",2006-05-13 14:29:35.733000000
416,34,3,"Continental","",2006-05-13 14:30:23.093000000
417,45,3,"Mark VIII","",2006-05-13 14:31:25.110000000
418,45,3,"Continental","",2006-05-13 14:31:59.077000000
419,45,3,"LS","",2006-05-13 14:34:10.700000000
420,45,9,"Navigator","",2006-05-13 14:34:45.983000000
421,13,2,"323","",2006-05-13 14:38:30.607000000
422,13,3,"929","",2006-05-13 14:40:35.187000000
423,13,11,"B2500","",2006-05-13 14:48:14.590000000
424,13,3,"Millenia","",2006-05-13 14:49:00.170000000
425,13,6,"MX3","",2006-05-13 14:51:25.437000000
426,13,6,"Mx5","",2006-05-13 14:51:39.140000000
427,13,9,"RX7","",2006-05-13 14:53:02.810000000
428,7,10,"180 D","",2006-05-13 14:55:18.217000000
429,7,3,"190 D","",2006-05-13 14:57:42.857000000
